ID,OfficialViols,AEP,RepairCount,RepairCost,ClassB_count,ClassB,ClassC_count,ClassC,SumViols,ViolsDiff
23124,,,3,90007,,,,,0,
23125,,,3,880,10,10,7,7,17,
23126,,,6,4903.55,9,9,9,9,18,
23127,,,6,1790,87,87,13,13,100,
23128,,,1,299,5,5,,,5,
23129,,,1,70,22,22,9,9,31,
23130,,,1,395,40,40,18,18,58,
23131,,,11,5846,46,46,8,8,54,
23132,,,2,1923,57,57,10,10,67,
23133,,,1,1175,25,25,4,4,29,
23134,,,1,150,,,1,1,1,
23135,,,3,1462,14,14,1,1,15,
23136,,,14,5537.25,83,83,62,62,145,
23137,,,7,1510,41,41,29,29,70,
23138,,,5,1638,38,38,4,4,42,
23139,,,21,34270.33,48,48,22,22,70,
23140,,,2,1700,17,17,,,17,
23141,,,13,4572.5,70,70,8,8,78,
23142,,,4,1011,67,67,9,9,76,
23143,,,5,4323,81,81,17,17,98,
23144,,,1,199,26,26,3,3,29,
23145,,,1,50,8,8,1,1,9,
23146,,,1,498,42,42,,,42,
23147,,,2,1032,70,70,28,28,98,
23148,,,8,1275,73,73,17,17,90,
23149,,,1,50,32,32,12,12,44,
23150,,,14,16266.55,84,84,27,27,111,
23151,,,1,15,10,10,3,3,13,
23152,,,1,21.25,,,,,0,
23153,,,2,884,48,48,12,12,60,
23154,,,3,1837,32,32,9,9,41,
23155,,,1,600,34,34,9,9,43,
23156,,,1,3507,52,52,14,14,66,
23157,,,3,3177,13,13,,,13,
23158,,,1,29700,,,,,0,
23159,,,1,741,,,1,1,1,
23160,,,9,5194.75,21,21,15,15,36,
23161,,,1,0,1,1,1,1,2,
23162,,,1,490,24,24,2,2,26,
23163,,,2,3913,7,7,13,13,20,
23164,,,2,1165,,,2,2,2,
23165,,,25,167677.06,6,6,3,3,9,
23166,,,1,735,19,19,,,19,
23167,,,23,9198.45,41,41,22,22,63,
23168,,,2,741.26,71,71,14,14,85,
23169,,,30,18150.3,111,111,91,91,202,
23170,,,5,1430,26,26,4,4,30,
23171,,,3,2029,83,83,11,11,94,
23172,,,2,1705,12,12,5,5,17,
23173,,,4,2797,10,10,4,4,14,
23174,,,1,50,66,66,21,21,87,
23175,,,20,6874.75,59,59,22,22,81,
23176,,,2,705,,,,,0,
23177,,,1,940,11,11,1,1,12,
23178,,,6,4510,44,44,21,21,65,
23179,,,1,274,,,1,1,1,
23180,,,5,2522,20,20,3,3,23,
23181,,,4,3148,37,37,4,4,41,
23182,,,13,14849.65,31,31,4,4,35,
23183,,,1,370,78,78,43,43,121,
23184,,,2,665.47,39,39,6,6,45,
23185,,,1,339,49,49,6,6,55,
23186,,,2,784,14,14,1,1,15,
23187,,,1,979,14,14,,,14,
23188,,,7,319,36,36,17,17,53,
23189,,,29,62859.75,30,30,43,43,73,
23190,,,37,146627.11,30,30,38,38,68,
23191,,,1,640,22,22,2,2,24,
23192,,,3,1636.04,1,1,,,1,
23193,,,16,18311.85,110,110,17,17,127,
23194,,,1,1898,4,4,,,4,
23195,,,3,5772,21,21,6,6,27,
23196,,,6,2529.5,184,184,34,34,218,
23197,,,1,280,1,1,,,1,
23198,,,1,52.5,10,10,8,8,18,
23199,,,1,5740,35,35,17,17,52,
23200,,,8,4431.5,44,44,7,7,51,
23201,,,3,1614,11,11,4,4,15,
23202,,,3,40490,,,6,6,6,
23203,,,8,6607.5,53,53,7,7,60,
23204,,,1,599,19,19,1,1,20,
23205,,,1,4770,1,1,,,1,
23206,,,14,207262.99,1,1,,,1,
23207,,,1,240,16,16,9,9,25,
23208,,,2,771,11,11,4,4,15,
23209,,,1,37.5,2,2,,,2,
23210,,,2,1302,5,5,4,4,9,
23211,,,10,3328.44,66,66,22,22,88,
23212,,,2,792.04,24,24,2,2,26,
23213,,,49,45866.74,5,5,2,2,7,
23214,,,2,1230.45,18,18,,,18,
23215,,,13,7544.5,159,159,42,42,201,
23216,,,4,1595,50,50,26,26,76,
23217,,,3,2495,70,70,8,8,78,
23218,,,2,33.75,,,8,8,8,
23219,,,4,1144.75,52,52,12,12,64,
23220,,,1,15,27,27,7,7,34,
23221,,,3,1671,41,41,5,5,46,
23222,,,1,47969,,,,,0,
23223,,,1,6240,,,,,0,
23224,,,1,6350,5,5,2,2,7,
23225,,,3,168,16,16,12,12,28,
23226,,,1,17555,,,,,0,
23227,,,1,249,8,8,4,4,12,
23228,,,1,381,8,8,,,8,
23229,,,4,3102,25,25,9,9,34,
23230,,,12,5095,35,35,19,19,54,
23231,,,16,14691.9,24,24,3,3,27,
23232,,,5,2036.75,39,39,12,12,51,
23233,,,5,989.75,69,69,14,14,83,
23234,,,1,1545,,,1,1,1,
23235,,,1,3686,,,,,0,
23236,,,10,2397,36,36,17,17,53,
23237,,,2,556,49,49,10,10,59,
23238,,,2,38350,,,,,0,
23239,,,3,1596,23,23,7,7,30,
23240,,,1,469,,,,,0,
23241,,,15,5237.81,3,3,20,20,23,
23242,,,1,50,25,25,6,6,31,
23243,,,2,1375.5,16,16,,,16,
23244,,,2,1325,22,22,5,5,27,
23245,,,8,9039,112,112,81,81,193,
23246,,,1,299,,,,,0,
23247,,,24,21782,545,545,186,186,731,
23248,,,1,0,,,,,0,
23249,,,20,13204,21,21,4,4,25,
23250,,,6,7903,147,147,26,26,173,
23251,,,2,51,25,25,21,21,46,
23252,,,1,36,31,31,10,10,41,
23253,,,2,1301,9,9,3,3,12,
23254,,,3,1697,2,2,1,1,3,
23255,,,8,10082.5,32,32,9,9,41,
23256,,,3,553,32,32,8,8,40,
23257,,,3,996.5,1,1,,,1,
23258,,,2,30.84,1,1,2,2,3,
23259,,,1,5028,1,1,,,1,
23260,,,6,14415.85,23,23,19,19,42,
23261,,,2,16150,8,8,,,8,
23262,,,2,67.4,15,15,7,7,22,
23263,,,2,4799,38,38,3,3,41,
